company_name,cin,other_name,other_cin
ALL SERVICES GLOBAL PRIVATE LIMITED,U74999MH2004PTC144036,A L L SERVICES UNDER 1 ROOF (INDIA) PRIVATE LIMITED;All Services Global Private Limited,
ACCORD DISTILLERS & BREWERS PRIVATE LIMITED,U23100TN2010PTC078243,A M BREWERIES PRIVATE LIMITED;ACCORD DISTILLERS & BREWERS PRIVATELIMITED,U15531TN2010PTC078243
SUPER SONIC LOGISTICS PRIVATE LIMITED,U63090WB2004PTC098123,A M LOGISTICS PRIVATE LIMITED,
WILD FLAVORS (INDIA) PRIVATE LIMITED,U99999MH1995PTC090399,A M TODD COMPANY INDIA PRIVATE LIMITED;INDOMINT AGRIPRODUCTS PRIVATE LIMITED;WILD Flavors India Private Limited,
PANORAMA TELEVISION PRIVATE LIMITED,U64204MH1996PTC281176,A N G ENTERPRISES PRIVATE LIMITED,U64204AP1996PTC024587;U64204TG1996PTC024587
A P I ISPAT AND POWERTECH PRIVATE LIMITED,U27101CT2004PTC008241,A P I ISPAT AND POWERTECH PRIVATELIMITED,U27101DL2004PTC129773
A P ORGANICS LIMITED,U15143PB1998PLC021323,A P ORGANICS PRIVATE LIMITED,
A P REFINERY PRIVATE LIMITED,U15143PB2003PTC026245,A P REFINERY PRIV LIMITED,
JAY OM PRIVATE LIMITED,U21100MH1976PTC018894,A P S COATS PRIVATE LIMITED,
RICELA HEALTH FOODS LIMITED,U15142PB1992PLC012726,A P SOLVEX LIMITED,
LAVENDER HOLDINGS PRIVATE LIMITED,U93000HR2012PTC044972,A PLUS SECURITIES PRIVATE LIMITED,
ARAYMOND INDIA PRIVATE LIMITED,U24139PN2007PTC133150,A RAYMOND FASTENERS INDIA PRIVATE LIMITED;A RAYMOND FASTENERS INDIA PRIVATELIMITED,
SNB MINERALS LIMITED,U09900DL2005PLC135000,A S BAJAJ SALES AND MARKETING PRIVATE LIMITED;A S BAJAJ SALES AND MARKETING PRIVATELIMITED;SNB MINERALS PRIVATE LIMITED,U09900DL2005PTC135000;U51909DL2005PTC135000
SNB MINERALS LIMITED,U09900DL2005PLC135000,A S BAJAJ SALES AND MARKETING PRIVATE LIMITED;A S BAJAJ SALES AND MARKETING PRIVATELIMITED;SNB MINERALS PRIVATE LIMITED,U51909DL2005PTC135000
A S P FINCAP PRIVATE LIMITED,U65991CT1995PTC009511,A S P FINCAP PRIV LIMITED;RAKSHIT FINANCIAL SERVICES PRIVATE LIMITED,U65991PB1995PTC017156
A SEPTEMBER HOME LIFESTYLE PRIVATE LIMITED,U52190RJ2014PTC046532,A September Home Lifestyle Private Limited;A SEPTEMBER HOME LIFESTYLE PRIVATELIMITED,
ATC GLOBAL LOGISTICS PRIVATE LIMITED,U63040MH1972PTC015690,A T C (CLEARING AND SHIPPING) PRIVATE LIMITED;A T C CLEARING AND SHIPPING PRIVATE LIMITED;A.T.C. Global Logistics Private Limited,
GREENKO AT HYDRO PRIVATE LIMITED,U40109TG2002PTC047104,A T HYDRO PRIVATE LIMITED,U40109AP2002PTC047104
A TO Z INFRATECH PRIVATE LIMITED,U45400DL2008PTC173245,A to Z INFRATECH PRIVATE LIMITED,
ARENE LIFE SCIENCES (UNIT 3) PRIVATE LIMITED,U24239TG2006PTC049202,A V R ORGANICS PRIVATE LIMITED;ARENE LIFE SCIENCES (UNIT 3) PRIVATELIMITED;AVR ORGANICS PRIVATE LIMITED,U24239AP2006PTC049202
BARDIYA REAL ESTATE DEVELOPERS PRIVATE LIMITED,U45201RJ1989PTC005033,A V R POLYMERS PVT LTD.;BARDIYA REAL ESTATE DEVELOPERS PRIVATELIMITED,
A V THOMAS LEATHER & ALLIED PRODUCTS PRIVATE LIMITED,U18209TN1977PTC007377,A V THOMAS LEATHER  ALLIED PRODUCTS PRIVATE LIMITED;A V THOMAS LEATHER & ALLIED PRODUCTSPRIVATE LIMITED,
A W FABER CASTELL (INDIA) PRIVATE LIMITED,U36991MH1996PTC103223,A W FABER CASTELL (INDIA) PRIVATELIMITED;A W FABER CASTELL INDIA PRIVATE LIMITED,
A-1 ACID LIMITED,L24119GJ2004PLC044011,A-1 ACID PRIVATE LIMITED,U24119GJ2004PLC044011;U24119GJ2004PTC044011
A-1 FACILITY AND PROPERTY MANAGERS PRIVATE LIMITED,U74999MH2007PTC170689,A-1 FACILITY AND PROPERTY MANAGERSPRIVATE LIMITED,
A-1 FENCE PRODUCTS COMPANY PRIVATE LIMITED,U28990MH2009PTC192329,A-1 FENCE PRODUCTS COMPANY PRIVATELIMITED,
PANTHEON INFRASTRUCTURE PVT LTD,U70100MH1995PTC095648,A-CLASS BUILDERS AND DEVELOPERS PRIVATE LIMITED,
A-CLASS MARBLE INDIA PRIVATE LIMITED,U14101RJ2005PTC020960,A-CLASS MARBLES (INDIA) PRIVATE LIMITED;A-CLASS MARBLES INDIA PRIVATE LIMITED,
